id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal
574,rika Abril Surez,F,38.0,164.0,52.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,
583,Julien Absalon,M,27.0,180.0,68.0,France,FRA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
599,Bektas Abubakirov,M,23.0,165.0,54.0,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Bantamweight,
600,Nagmeldin Ali Abubakr,M,18.0,172.0,63.0,Sudan,SUD,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,
606,Roberto Abugattas Aboino,M,21.0,182.0,77.0,Peru,PER,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's High Jump,
618,Aleksandr Veniaminovich Abushakhmetov,M,25.0,189.0,81.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",Bronze
621,Anas Sameer N. H. Abuyousuf,M,14.0,181.0,77.0,Qatar,QAT,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,
627,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,
629,William Accambray,M,24.0,194.0,104.0,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
634,Paul Accola,M,24.0,176.0,82.0,Switzerland,SUI,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
636,Enrique Accorsi Teuthorn,M,31.0,,,Chile,CHI,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's epee, Individual",
663,Sharath Kamal Achanta,M,22.0,186.0,85.0,India,IND,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Singles,
663,Sharath Kamal Achanta,M,34.0,186.0,85.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,
691,Assumpta Achuo-Bei,F,20.0,159.0,55.0,Cameroon,CMR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 800 metres,
714,Juan Acosta Umazabal,M,29.0,,,Chile,CHI,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Marathon,
717,Leopoldo Acosta,M,22.0,185.0,61.0,Ecuador,ECU,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,
718,Luis Angel Acosta,M,20.0,180.0,73.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Backstroke,
757,Adam,M,,,,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's epee, Individual",
761,Gal Adam,M,22.0,190.0,80.0,Mauritius,MRI,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,
770,Marcus Adam,M,24.0,182.0,82.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,
790,Mara Teresa Adames,F,18.0,160.0,52.0,Mexico,MEX,1960 Summer,1960,Summer,Roma,Diving,Diving Women's Springboard,
790,Mara Teresa Adames,F,18.0,160.0,52.0,Mexico,MEX,1960 Summer,1960,Summer,Roma,Diving,Diving Women's Platform,
793,Panagiotis Adamidis,M,18.0,,,Greece,GRE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Backstroke,
818,Harry Lester Adams,M,31.0,,,United States,USA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres",
835,"Phillip Maxwell ""Phil"" Adams",M,43.0,163.0,93.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Pistol, 10 metres",
836,Platt Adams,M,23.0,188.0,78.0,United States,USA,1908 Summer,1908,Summer,London,Athletics,"Athletics Men's Discus Throw, Greek Style",
840,"Victoria ""Vicki"" Adams",F,24.0,164.0,69.0,Great Britain,GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze
855,"James Nicholas ""Nick"" Adamson",M,27.0,183.0,74.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed One Person Dinghy,
856,Per Owe Adamson,M,25.0,171.0,65.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,
867,"Christopher Thomas ""Chris"" Adcock",M,27.0,183.0,80.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,
883,Charles Addo-Odametey,M,31.0,170.0,67.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,
906,Peter Adelaar,M,33.0,213.0,135.0,Netherlands,NED,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Open Class,
915,Abrar Osman Adem,M,22.0,168.0,58.0,Eritrea,ERI,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",
936,Isiaq Adeyanju,M,24.0,162.0,65.0,Nigeria,NGR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,
948,Hammed Adio,M,21.0,185.0,63.0,Nigeria,NGR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,
954,Adiyasambuu Tsolmon,F,23.0,165.0,65.0,Mongolia,MGL,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,
970,Lena Kristina Adler,F,18.0,162.0,56.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Floor Exercise,
977,Erik William Adlerz,M,27.0,,,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Diving,Diving Men's Platform,Silver
979,Hans Adlhoch,M,41.0,177.0,70.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",
1011,Omar Adorno,M,23.0,160.0,51.0,Puerto Rico,PUR,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Flyweight,
1015,Conrad Adriaenssens,M,49.0,,,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",
1017,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1024,Elisngela Maria Adriano,F,32.0,180.0,96.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Discus Throw,
1048,Eduard Aellig,M,24.0,181.0,93.0,Austria,AUT,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Half-Heavyweight,
1068,Brian O'Neill Afanador Prez,M,19.0,175.0,68.0,Puerto Rico,PUR,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,
1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Balance Beam,
1075,Abel Aferalign,M,20.0,169.0,54.0,Ethiopia,ETH,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Bantamweight,
1088,"Olabisi ""Bisi"" Afolabi",F,24.0,180.0,62.0,Nigeria,NGR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,
1132,Agberto Correa de Matos,M,24.0,193.0,97.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,
1173,Yannick Agnel,M,20.0,202.0,90.0,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
1188,"Benjamin Alexandro ""Ben"" Agosto",M,24.0,178.0,75.0,United States-1,USA,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
1218,Pedro Luciano Agero Ceballos,M,19.0,165.0,60.0,Argentina,ARG,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Lightweight,
1238,Dario Aguilar Gonzlez,M,,,,Mexico,MEX,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,
1283,Jeinkler Ernesto Aguirre Manso,M,22.0,165.0,57.0,Cuba,CUB,2012 Summer,2012,Summer,London,Diving,Diving Men's Platform,
1292,Ordan Ramn Aguirre,M,25.0,170.0,65.0,Venezuela,VEN,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,
1298,Diego Aguirregomezcorta,M,25.0,190.0,83.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Pairs,
1305,Jos Agut Bonfills,M,23.0,178.0,68.0,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,
1307,Albert Agyemang,M,22.0,169.0,70.0,Ghana,GHA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,
1308,Joseph Agyemang-Gyau,M,25.0,168.0,69.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Football,Football Men's Football,
1310,"Jacqueline Nana A. D. ""Jackie"" Agyepong",F,23.0,172.0,63.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres Hurdles,
1323,"Timothy Joseph ""Tim"" Ahearne",M,22.0,170.0,57.0,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Triple Jump,Gold
1326,"Michael Kofi ""Mike"" Ahey",M,28.0,196.0,72.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,
1326,"Michael Kofi ""Mike"" Ahey",M,28.0,196.0,72.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,
1394,Ghofran Ahmed Zaki,M,23.0,192.0,68.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,
1396,Hamid Ahmed,M,,,,Iraq,IRQ,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,
1402,Manzoor Ahmed,M,28.0,169.0,75.0,Pakistan,PAK,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,
1407,Mumtaz Ahmed,M,34.0,178.0,79.0,Pakistan,PAK,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,
1408,Mushtaq Ahmed,M,28.0,170.0,70.0,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
1424,Arthur Ahnger,M,26.0,,,Lucky Girl-1,FIN,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Bronze
1428,Paavo Aho,M,20.0,180.0,63.0,Finland,FIN,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's Shot Put, Both Hands",
1463,Ai Linuer,M,25.0,160.0,62.0,China,CHN,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
1499,Ian Richard Ainslie,M,35.0,190.0,89.0,South Africa,RSA,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Men's One Person Dinghy,
1507,Markku Erkki Airio,M,24.0,188.0,96.5,Finland,FIN,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Heavyweight,
1511,Michael Christopher Aish,M,28.0,175.0,60.0,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 5,000 metres",
1520,Miloud Ait Hammi,M,26.0,178.0,69.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Welterweight,
1555,Geard Ajetovi,M,19.0,170.0,67.0,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Welterweight,
1564,Chioma Ajunwa (-Opara),F,24.0,164.0,57.0,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Long Jump,Gold
1566,Kouadio Vincent Aka-Akesse,M,28.0,180.0,96.0,France,FRA,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",
1574,Kosei Akaishi,M,23.0,172.0,74.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Lightweight, Freestyle",
1583,Hiroyuki Akatsuka,M,43.0,167.0,65.0,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",
1590,Ahmed Akbari Javid,M,29.0,178.0,75.0,Iran,IRI,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's Foil, Team",
1606,Patsy Serafina Akeli,F,29.0,175.0,89.0,Samoa,SAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,
1607,Anatoly Vasilyevich Akentyev,M,28.0,185.0,80.0,Soviet Union,URS,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
1618,Ernst Gunnar kerlund,M,24.0,,,Sweden,SWE,1948 Summer,1948,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold
1641,Adkhamdzhon Akhilov,M,24.0,169.0,54.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",
1647,Murodzhon Kakharovich Akhmadaliyev,M,21.0,165.0,56.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,Bronze
1657,Bakhyt Beshimbekovich Akhmetov,M,21.0,175.0,105.0,Kyrgyzstan,KGZ,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Middle-Heavyweight,
1670,Tadahiro Akiba,M,20.0,173.0,68.0,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,
1701,"Joshua Emmanuel ""Josh"" Akognon",M,30.0,189.0,83.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,
1711,Kossi Casimir Akoto,M,23.0,167.0,73.0,Togo,TOG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,
1801,Jarrah Al-Asmawi,M,21.0,,,Kuwait,KUW,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Freestyle,
1809,Nasser Salih Nasser Abdullah Al-Attiya,M,29.0,178.0,82.0,Qatar,QAT,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Skeet,
1827,Mansour Ayoub Al-Baloushi,M,20.0,175.0,65.0,Oman,OMA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,
1849,Saleh Al-Buraiki,M,23.0,180.0,68.0,Kuwait,KUW,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,
1874,Obeid Al-Dosari,M,20.0,174.0,73.0,Saudi Arabia,KSA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,
1921,Mohammed bin Naseeb Al-Habsi,M,16.0,180.0,60.0,Oman,OMA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,
1953,Mohamed Amour Salah Al-Hashimi,M,19.0,170.0,60.0,Oman,OMA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,
1975,Zaher Salim Al-Jamudi,M,,165.0,75.0,Oman,OMA,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
1984,Adel Al-Kahham,M,23.0,,,Kuwait,KUW,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,
1993,Hajar Saeed Saad Sowaid Al-Khaldi,F,21.0,160.0,45.0,Bahrain,BRN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,
2009,Osama Nassir Al-Khurafi,M,17.0,180.0,75.0,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Individual",
2023,Talib Salim Al-Maiwali,M,33.0,,,Oman,OMA,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Men's Windsurfer,
2029,Saeed bin Hasher Al-Maktoum,M,31.0,176.0,88.0,United Arab Emirates,UAE,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Skeet,
2033,Enemri Najem Al-Marghani,M,,178.0,55.0,Libya,LBA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,
2082,Lubna Al-Omair,F,29.0,152.0,45.0,Saudi Arabia,KSA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",
2105,Juma Sulaiman Al-Rahbi,M,,153.0,57.0,Oman,OMA,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",
2154,Ahmad Al-Shamy,M,22.0,180.0,90.0,Syria,SYR,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",
2224,Ernesto Arturo Alas,M,54.0,186.0,98.0,Argentina,ARG,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",
2229,Fouad Salam Alam,M,24.0,194.0,84.0,Egypt,EGY,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,
2233,Noor Alam,M,26.0,172.0,73.0,Pakistan,PAK,1956 Summer,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,Silver
2247,Amelita Alanes (-Saberon),F,20.0,158.0,50.0,Philippines,PHI,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 100 metres,
2248,Eduardo Alans Guerrero,M,18.0,174.0,55.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Individual Medley,
2273,Issa Alassane-Oussni,M,27.0,180.0,76.0,Benin,BEN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,
2285,Jos Daniel Alba Alba,M,27.0,185.0,78.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",
2287,Julia Mara Alba Alarc,F,28.0,169.0,57.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,
2297,John Laurent Albaret,M,45.0,,,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's epee, Team",
2313,Alberto Alberani Samaritani,M,33.0,192.0,82.0,Italy,ITA,1980 Summer,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo,
2317,Auguste Albert,M,,,,Martha-1,FRA,1900 Summer,1900,Summer,Paris,Sailing,Sailing Mixed 1-2 Ton,Bronze
2320,Dag Edward Albert,M,38.0,185.0,70.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
2328,Karsten Klaus Albert,M,33.0,186.0,90.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Luge,Luge Men's Singles,
2334,Samantha Albert (Majendie-),F,41.0,165.0,59.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
2361,Alan Jacob Alborn,M,17.0,178.0,61.0,United States,USA,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
2414,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",F,19.0,169.0,69.0,Great Britain,GBR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Combined,
2414,"Chimene Mary ""Chemmy"" Alcott (-Crawford)",F,23.0,169.0,69.0,Great Britain,GBR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
2422,Gregorio Aldama Fernndez,M,30.0,186.0,81.0,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Light-Heavyweight,
2426,Andrea Dennise Aldana Bennett,F,23.0,172.0,68.0,Guatemala,GUA,2012 Summer,2012,Summer,London,Sailing,Sailing Women's One Person Dinghy,
2441,Jacky Alders,M,24.0,180.0,74.0,Belgium,BEL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",
2453,Anil Alexander Aldrin,M,24.0,,,India,IND,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,
2458,David Alegre Biosca,M,19.0,184.0,75.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,
2484,Sergey Yevgenyevich Aleksandrov,M,27.0,176.0,95.0,Kazakhstan,KAZ,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,
